Time,Open,High,Low,Last,Change,%Chg,Volume
04/22/2022,109.2366,109.8161,108.9469,109.536,-0.1256,-0.11%,20633791
04/21/2022,110.579,110.6563,109.3429,109.6616,-1.1782,-1.06%,26185287
04/20/2022,110.4148,111.1512,110.3955,110.8398,1.1396,+1.04%,21868156
04/19/2022,110.0285,110.2555,109.6326,109.7002,-0.8788,-0.79%,20476604
04/18/2022,111.1971,111.3806,110.4728,110.579,-0.8499,-0.76%,17163764
04/14/2022,112.6747,112.7037,111.3226,111.4289,-1.3134,-1.16%,20416859
04/13/2022,112.1725,112.8099,112.1242,112.7423,0.5794,+0.52%,22030523
04/12/2022,112.8389,113.1576,112.1532,112.1629,0.0773,+0.07%,25916483
04/11/2022,112.5057,112.5926,111.8145,112.0856,-1.101,-0.97%,21418978
04/08/2022,113.2348,113.5342,112.8485,113.1866,-0.8981,-0.79%,16642713
04/07/2022,114.471,114.5579,113.8755,114.0847,-0.5312,-0.46%,22047710
04/06/2022,114.0654,115.1567,113.766,114.6159,-0.676,-0.59%,26349726
04/05/2022,116.9916,117.0399,115.2726,115.2919,-2.0571,-1.75%,23557098
04/04/2022,117.0206,117.3876,116.644,117.349,0.4057,+0.35%,20344479
04/01/2022,115.9486,117.2379,115.8424,116.9433,0.3911,+0.34%,17092115
03/31/2022,116.8702,117.1497,116.3402,116.5522,-0.2699,-0.23%,20654564
03/30/2022,116.1185,116.9473,116.0607,116.8221,0.2699,+0.23%,18362912
03/29/2022,116.1764,116.6197,115.921,116.5522,0.9733,+0.84%,24708857
03/28/2022,115.1452,115.762,114.9958,115.5789,0.6361,+0.55%,19394746
03/25/2022,115.4343,115.4632,114.5284,114.9428,-0.9155,-0.79%,24122583
03/24/2022,115.0681,116.027,114.5284,115.8583,0.0481,+0.04%,21236998
03/23/2022,115.6945,115.9644,115.309,115.8102,0.3277,+0.28%,17587373
03/22/2022,115.3958,115.6367,115.2512,115.4825,-0.2795,-0.24%,17412641
03/21/2022,116.504,116.7594,115.603,115.762,-1.6287,-1.39%,18593894
03/18/2022,116.7546,117.5593,116.7546,117.3907,0.2313,+0.20%,22490977
03/17/2022,116.6197,117.4533,116.4462,117.1594,1.1372,+0.98%,24777122
03/16/2022,115.55,116.08,114.3646,116.0222,0.983,+0.85%,33787629
03/15/2022,114.6922,115.1356,114.5091,115.0392,0.8963,+0.79%,24926235
03/14/2022,114.7886,115.2319,114.1044,114.1429,-1.6769,-1.45%,19325961
03/11/2022,115.9354,116.0511,115.7138,115.8198,-0.0482,-0.04%,21480629
03/10/2022,116.4944,116.5426,115.4439,115.868,-1.3395,-1.14%,35472770
03/09/2022,117.1497,117.5689,117.01,117.2075,0.2023,+0.17%,28693117
03/08/2022,116.9184,117.4099,116.4269,117.0052,-0.7035,-0.60%,20799825
03/07/2022,118.4315,118.817,117.5738,117.7087,-1.4456,-1.21%,16773449
03/04/2022,119.8192,119.9301,119.0868,119.1543,0.1157,+0.10%,18174061
03/03/2022,119.0483,119.3663,118.7688,119.0386,0.4337,+0.37%,14676992
03/02/2022,119.6265,119.7903,118.576,118.6049,-1.8311,-1.52%,25785420
03/01/2022,120.3107,121.2696,120.2722,120.436,0.4105,+0.34%,29577699
02/28/2022,119.1984,120.2178,119.1984,120.0255,1.2695,+1.07%,24408189
02/25/2022,118.6021,119.333,118.3136,118.756,0.4809,+0.41%,19832330
02/24/2022,117.7846,118.3713,117.5442,118.2751,0.5578,+0.47%,30408241
02/23/2022,118.5155,118.6309,117.6884,117.7173,-1.0771,-0.91%,17239539
02/22/2022,118.5316,118.8041,118.4097,118.7944,-0.1539,-0.13%,18727366
02/18/2022,119.0253,119.3907,118.5444,118.9483,0.2885,+0.24%,19998805
02/17/2022,118.7175,119.0349,118.3809,118.6598,0.0866,+0.07%,25354601
02/16/2022,118.7464,118.7608,117.9241,118.5732,0.1731,+0.15%,28228665
02/15/2022,118.8618,119.1118,118.4001,118.4001,-0.5963,-0.50%,16297088
02/14/2022,119.4003,119.5446,118.9291,118.9964,-1.0675,-0.89%,23700211
02/11/2022,119.4388,120.1793,118.9675,120.0639,0.8848,+0.74%,22410890
02/10/2022,120.1793,120.4005,119.1551,119.1791,-1.6446,-1.36%,41158533
02/09/2022,120.9103,121.2565,120.7949,120.8237,0.4039,+0.34%,20396729
02/08/2022,120.7372,120.8718,120.4198,120.4198,-0.452,-0.37%,23006257
02/07/2022,120.5352,120.992,120.4102,120.8718,0.2212,+0.18%,13264152
02/04/2022,120.8718,120.9824,120.3236,120.6506,-1.2118,-0.99%,27154565
02/03/2022,121.9682,122.074,121.622,121.8624,-0.9906,-0.81%,24327508
02/02/2022,123.0453,123.3916,122.728,122.853,0.0096,+0.01%,23545488
02/01/2022,122.7087,122.9299,122.1894,122.8434,0.2039,+0.17%,18286907
01/31/2022,122.4283,122.7504,122.1595,122.6395,0.0576,+0.05%,21173617
01/28/2022,121.7756,122.6299,121.7669,122.5819,0.1344,+0.11%,22183285
01/27/2022,122.5915,122.9227,122.2123,122.4475,0.2784,+0.23%,23223581
01/26/2022,123.3306,123.465,122.0539,122.1691,-0.8352,-0.68%,24190227
01/25/2022,123.3306,123.633,122.9563,123.0043,-0.3455,-0.28%,17967307
01/24/2022,123.7722,123.8298,123.2634,123.3498,-0.384,-0.31%,23509235
01/21/2022,123.5226,123.9354,123.4602,123.7338,0.8063,+0.66%,22402574
01/20/2022,123.1482,123.3498,122.8027,122.9275,-0.0672,-0.05%,23872482
01/19/2022,123.129,123.5274,122.9659,122.9947,0.192,+0.16%,16728353
01/18/2022,123.273,123.3402,122.7451,122.8027,-1.1807,-0.95%,15904016
01/14/2022,124.5113,124.5305,123.9258,123.9834,-1.1039,-0.88%,14905601
01/13/2022,124.8953,125.0969,124.4873,125.0873,0.3936,+0.32%,14030737
01/12/2022,125.0105,125.1497,124.6841,124.6937,-0.0864,-0.07%,13264740
01/11/2022,124.4153,124.8617,124.2905,124.7801,0.3744,+0.30%,17950337
01/10/2022,124.2137,124.4777,123.8586,124.4057,-0.1152,-0.09%,14848417
01/07/2022,124.8953,124.9817,124.281,124.5209,-0.5376,-0.43%,18491946
01/06/2022,124.9625,125.2457,124.7897,125.0585,-0.1632,-0.13%,20143637
