Time,Open,High,Low,Last,Change,%Chg,Volume
09/16/2019,128.8561,129.501,128.2715,129.2299,1.6261,+1.27%,11739844
09/13/2019,129.2299,129.6318,127.6038,127.6038,-2.785,-2.14%,20247229
09/12/2019,132.2392,132.5196,129.9633,130.3888,-0.8598,-0.66%,20505318
09/11/2019,131.2112,131.9121,131.2018,131.2486,-0.2336,-0.18%,11707953
09/10/2019,133.4915,133.9121,131.4542,131.4822,-2.3457,-1.75%,14821425
09/09/2019,134.4167,134.5756,133.8186,133.8279,-2.4205,-1.78%,16973474
09/06/2019,135.7531,136.4727,135.5849,136.2484,0.9626,+0.71%,10129233
09/05/2019,136.1269,136.2578,134.4728,135.2858,-2.4953,-1.81%,20743940
09/04/2019,136.94,137.9587,136.8933,137.7811,0.2056,+0.15%,8519798
09/03/2019,137.4634,138.9399,136.9774,137.5755,0.1776,+0.13%,16759784
08/30/2019,136.7729,137.5845,136.5397,137.3979,0.0373,+0.03%,14525523
08/29/2019,137.37,137.4539,136.3251,137.3606,-0.5224,-0.38%,9523930
08/28/2019,138.7973,138.9092,137.7524,137.883,0.1772,+0.13%,10823960
08/27/2019,136.7916,137.8084,136.6516,137.7058,2.0897,+1.54%,12147780
08/26/2019,136.0825,136.4744,135.5415,135.6161,-0.5504,-0.40%,13050338
08/23/2019,133.8902,136.4557,133.8063,136.1665,2.2016,+1.64%,17358828
08/22/2019,134.338,134.991,133.8529,133.9649,-0.8955,-0.66%,14878606
08/21/2019,135.0097,136.0079,134.6039,134.8604,-0.905,-0.67%,10046171
08/20/2019,135.5321,135.8516,135.1216,135.7654,1.3901,+1.03%,7987538
08/19/2019,133.9369,134.9537,133.8856,134.3753,-1.9498,-1.43%,14594447
08/16/2019,136.2598,136.6796,135.1216,136.3251,-1.1008,-0.80%,18919118
08/15/2019,136.1572,138.6294,135.812,137.4259,1.5113,+1.11%,25439414
08/14/2019,135.4202,135.9483,135.0004,135.9146,2.9946,+2.25%,16152703
08/13/2019,134.1608,134.2556,132.4256,132.92,-0.4571,-0.34%,17257316
08/12/2019,132.211,133.8063,132.0165,133.3771,2.724,+2.08%,15108006
08/09/2019,131.2315,132.0524,130.4851,130.6531,-0.2612,-0.20%,11390141
08/08/2019,129.8041,131.0075,128.7219,130.9143,0.2799,+0.21%,15806463
08/07/2019,132.8454,133.4611,130.4012,130.6344,0.0467,+0.04%,34925391
08/06/2019,128.9272,130.5877,128.8199,130.5877,1.0355,+0.80%,13664126
08/05/2019,128.8712,129.5709,128.4234,129.5522,2.2016,+1.73%,19876563
08/02/2019,126.5576,127.3506,126.315,127.3506,1.1662,+0.92%,16232124
08/01/2019,124.4399,126.3057,124.3186,126.1844,2.4572,+1.99%,28582833
07/31/2019,122.6192,124.1368,122.582,123.7272,0.9869,+0.80%,16968695
07/30/2019,122.8985,122.9917,122.3678,122.7403,0.298,+0.24%,6098921
07/29/2019,122.731,122.8519,122.3353,122.4423,0.0372,+0.03%,6693307
07/26/2019,122.6192,122.6937,122.2003,122.4051,0.2886,+0.24%,6646906
07/25/2019,122.2003,122.3492,121.5113,122.1165,-0.5865,-0.48%,9551582
07/24/2019,122.5261,122.8026,122.4004,122.703,0.5307,+0.43%,6862793
07/23/2019,122.5261,122.6565,121.9349,122.1723,-0.6704,-0.55%,8709419
07/22/2019,123.3361,123.3548,122.6601,122.8427,0.2328,+0.19%,5589927
07/19/2019,122.5168,122.8334,122.4377,122.6099,-0.2886,-0.23%,6234684
07/18/2019,122.4051,123.1965,122.191,122.8985,0.0093,+0.01%,6149728
07/17/2019,122.0234,122.9157,122.0141,122.8892,1.3127,+1.08%,10377646
07/16/2019,121.1947,121.5951,120.9946,121.5765,-0.3631,-0.30%,6629827
07/15/2019,121.4554,122.0141,121.4554,121.9396,0.6983,+0.58%,6504378
07/12/2019,120.962,121.4554,120.7385,121.2413,0.1397,+0.12%,7509802
07/11/2019,122.2561,122.3492,120.813,121.1016,-1.6387,-1.34%,15172987
07/10/2019,123.2244,123.3035,122.4423,122.7403,-0.6796,-0.55%,10171420
07/09/2019,123.5317,123.5596,123.0475,123.4199,-0.0466,-0.04%,6676445
07/08/2019,123.8762,124.0344,123.4665,123.4665,0.1676,+0.14%,6970519
07/05/2019,123.4013,123.4106,122.5913,123.2989,-1.6573,-1.33%,13082116
07/03/2019,124.3137,125.0306,124.3044,124.9562,0.8845,+0.71%,5778638
07/02/2019,123.3268,124.1927,123.3268,124.0717,0.9497,+0.77%,11272650
07/01/2019,123.4293,123.5968,122.5177,123.122,-0.2886,-0.23%,15188772
06/28/2019,123.1969,123.6615,123.0722,123.4106,-0.0836,-0.07%,8769873
06/27/2019,122.946,123.6708,122.6487,123.4942,0.8641,+0.70%,10464724
06/26/2019,123.2898,123.3084,122.5464,122.6301,-0.7898,-0.64%,13739160
06/25/2019,123.392,123.6708,123.327,123.4199,0.381,+0.31%,10336121
06/24/2019,122.8066,123.1504,122.7314,123.0389,0.9106,+0.75%,6864633
06/21/2019,123.1318,123.1504,122.0772,122.1283,-1.3567,-1.10%,15599094
