Date,Open,High,Low,Close,Adj Close,Volume
2022-11-08,72.949997,73.070000,72.589996,72.820000,71.029343,39489200
2022-11-09,72.599998,72.739998,71.820000,71.949997,70.180733,45728900
2022-11-10,73.980003,74.269997,73.459999,74.190002,72.365669,67165700
2022-11-11,74.220001,74.690002,73.930000,74.449997,72.619263,20934800
2022-11-14,74.250000,74.290001,73.870003,73.900002,72.082787,37932800
2022-11-15,74.639999,74.699997,74.070000,74.550003,72.716805,50673700
2022-11-16,74.489998,74.570000,74.309998,74.389999,72.560730,31124900
2022-11-17,73.809998,74.169998,73.730003,74.070000,72.248611,34338000
2022-11-18,74.459999,74.459999,74.019997,74.230003,72.404671,31663800
2022-11-21,74.150002,74.349998,74.019997,74.199997,72.375412,19070500
2022-11-22,74.339996,74.790001,74.260002,74.739998,72.902130,24572500
2022-11-23,74.680000,75.300003,74.660004,75.160004,73.311813,30316300
2022-11-25,75.150002,75.180000,74.900002,75.010002,73.165497,9465900
2022-11-28,74.800003,74.930000,74.190002,74.220001,72.394913,31668900
2022-11-29,74.220001,74.599998,74.080002,74.540001,72.707047,27162300
2022-11-30,74.599998,75.690002,74.389999,75.660004,73.799507,41702100
2022-12-01,75.570000,75.660004,75.180000,75.620003,74.072807,42134200
2022-12-02,74.989998,75.589996,74.989998,75.559998,74.014030,27535800
2022-12-05,75.279999,75.300003,74.690002,74.839996,73.308754,29736500
2022-12-06,74.870003,75.000000,74.430000,74.570000,73.044289,24976800
2022-12-07,74.550003,75.070000,74.550003,74.980003,73.445908,24614200
2022-12-08,75.070000,75.139999,74.800003,75.040001,73.504677,23839500
2022-12-09,74.820000,75.320000,74.820000,75.040001,73.504677,20687300
2022-12-12,75.220001,75.400002,75.099998,75.330002,73.788742,22415700
2022-12-13,76.610001,76.699997,75.690002,76.110001,74.552780,45923300
2022-12-14,76.010002,76.209999,75.220001,75.680000,74.131577,57177300
2022-12-15,74.910004,75.110001,74.629997,75.000000,73.851929,41666500
2022-12-16,74.570000,74.809998,74.410004,74.599998,73.458046,38197100
2022-12-19,74.309998,74.459999,74.059998,74.220001,73.083870,24135100
2022-12-20,73.849998,74.190002,73.690002,74.029999,72.896767,32917800
2022-12-21,74.400002,74.800003,74.339996,74.660004,73.517136,23211500
2022-12-22,74.370003,74.489998,73.919998,74.199997,73.064171,26893700
2022-12-23,74.080002,74.449997,73.949997,74.389999,73.251259,13196500
2022-12-27,74.320000,74.370003,73.580002,73.620003,72.493057,22108000
2022-12-28,73.739998,73.830002,72.589996,72.629997,71.518204,41064800
2022-12-29,72.919998,73.620003,72.750000,73.570000,72.443810,33378900
2022-12-30,73.320000,73.669998,73.279999,73.629997,72.502899,15170300
2023-01-03,74.110001,74.190002,73.660004,73.769997,72.640755,28787700
2023-01-04,74.260002,74.660004,73.989998,74.620003,73.477745,37120100
2023-01-05,74.360001,74.540001,74.180000,74.470001,73.330040,35142000
2023-01-06,74.870003,75.779999,74.699997,75.529999,74.373810,60041200
2023-01-09,75.750000,75.959999,75.639999,75.800003,74.639687,35806900
